id,user,uid,version,changeset,timestamp
10127821,aweech,8482773,13,69993342,2019-05-07T18:04:11Z
10127822,TheDutchMan13,1330847,7,49209938,2017-06-02T23:31:11Z
10127823,dirtyidol,8848191,14,67878283,2019-03-07T10:55:22Z
10127824,TheDutchMan13,1330847,8,49209938,2017-06-02T23:31:11Z
10127825,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:12Z
10127835,TheDutchMan13,1330847,8,49209938,2017-06-02T23:31:13Z
10127837,chadbunn,1058653,8,34089604,2015-09-17T18:32:28Z
10127847,osmjwh,5084396,8,67154181,2019-02-13T07:44:12Z
10127851,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:14Z
10127852,maxolasersquad,55916,6,13862288,2012-11-13T17:43:37Z
10127856,dhogan,4735951,10,56772944,2018-03-01T02:38:20Z
10127860,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:15Z
10127861,osmjwh,5084396,6,53935611,2017-11-19T23:18:06Z
10127866,TheDutchMan13,1330847,3,49209938,2017-06-02T23:31:15Z
10127871,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:15Z
10127872,manikyal,9018045,7,64236882,2018-11-06T16:44:13Z
10127873,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:16Z
10127875,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:16Z
10127877,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:16Z
10127881,maxerickson,360392,4,44448845,2016-12-16T14:25:37Z
10127890,mvexel,8909,10,61865089,2018-08-21T18:25:11Z
10127891,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:17Z
10127893,TheDutchMan13,1330847,8,49209938,2017-06-02T23:31:17Z
10127911,Christine_E,1707766,12,28055943,2015-01-11T07:04:39Z
10127915,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:18Z
10127917,osmjwh,5084396,7,54016238,2017-11-23T03:16:24Z
10127932,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:19Z
10127936,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:20Z
10127940,TheDutchMan13,1330847,9,49209938,2017-06-02T23:31:20Z
10127942,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:20Z
10127943,navlay,8476263,10,63562649,2018-10-16T04:41:24Z
10127945,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:21Z
10127960,TheDutchMan13,1330847,3,49209938,2017-06-02T23:31:22Z
10127961,TheDutchMan13,1330847,7,49209938,2017-06-02T23:31:22Z
10127966,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:22Z
10127977,TheDutchMan13,1330847,9,49209938,2017-06-02T23:31:22Z
10127982,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:22Z
10127985,torapa,5446055,6,50608999,2017-07-27T06:33:38Z
10127995,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:24Z
10128002,mvexel,8909,5,50329611,2017-07-16T16:16:18Z
10128003,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:25Z
10128004,osmjwh,5084396,6,60268243,2018-06-29T06:42:24Z
10128007,osmjwh,5084396,7,52430544,2017-09-28T04:20:15Z
10128012,osmjwh,5084396,9,63267836,2018-10-06T23:03:39Z
10128015,Your Village Maps,227972,6,61157034,2018-07-29T06:35:03Z
10128017,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:26Z
10128019,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:26Z
10128020,miuddin,9196116,8,66117485,2019-01-08T05:10:52Z
10128025,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:26Z
10128030,Kevin Atkinson,321736,6,5405091,2010-08-05T07:40:52Z
10128031,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:26Z
10128044,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:27Z
10128052,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:27Z
10128061,Tindog,8487810,7,60706490,2018-07-14T07:41:59Z
10128066,addatla,8407155,8,60593537,2018-07-11T02:04:56Z
10128075,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:28Z
10128081,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:29Z
10128098,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:29Z
10128100,TheDutchMan13,1330847,3,49209938,2017-06-02T23:31:30Z
10128103,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:30Z
10128105,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:30Z
10128110,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:30Z
10128112,vvrddy,8369522,8,63563111,2018-10-16T05:12:38Z
10128114,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:30Z
10128117,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:31Z
10128120,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:31Z
10128126,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:31Z
10128133,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:32Z
10128134,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:32Z
10128137,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:32Z
10128138,mvexel,8909,5,32065613,2015-06-19T03:58:19Z
10128140,Natfoot,567792,8,66083393,2019-01-07T00:51:36Z
10128141,TheDutchMan13,1330847,11,49209938,2017-06-02T23:31:32Z
10128146,butlerm,104930,3,2613453,2009-09-25T08:30:16Z
10128162,balrog-kun,20587,4,4308008,2010-04-02T22:40:52Z
10128169,balrog-kun,20587,2,4308008,2010-04-02T22:40:52Z
10128180,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:33Z
10128181,TheDutchMan13,1330847,7,49209938,2017-06-02T23:31:33Z
10128182,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:34Z
10128189,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:34Z
10128195,torapa,5446055,5,50555164,2017-07-25T11:29:16Z
10128196,torapa,5446055,6,50555164,2017-07-25T11:29:16Z
10128201,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:34Z
10128204,TheDutchMan13,1330847,9,49209938,2017-06-02T23:31:35Z
10128209,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:35Z
10128213,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:35Z
10128215,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:35Z
10128222,hoream_telenav,4437318,10,69034961,2019-04-09T08:35:01Z
10128225,TheDutchMan13,1330847,7,49209938,2017-06-02T23:31:37Z
10128228,TheDutchMan13,1330847,8,49209938,2017-06-02T23:31:37Z
10128232,user_5359,5359,7,60141769,2018-06-25T08:57:24Z
10128253,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:39Z
10128258,chadbunn,1058653,5,34500786,2015-10-07T22:26:38Z
10128264,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:39Z
10128270,datbrahm,8407159,5,65460799,2018-12-14T03:58:53Z
10128271,Roadrunner21,330773,3,12967826,2012-09-03T15:41:26Z
10128279,TheDutchMan13,1330847,7,49209938,2017-06-02T23:31:39Z
10128282,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:40Z
10128292,talukdm,8683374,13,64066531,2018-11-01T05:14:17Z
10128307,mvexel,8909,5,61865089,2018-08-21T18:25:12Z
10128321,njtbusfan,8107451,75,69254087,2019-04-16T02:05:06Z
10128325,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:42Z
10128334,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:42Z
10128336,TheDutchMan13,1330847,3,49209938,2017-06-02T23:31:42Z
10128339,TheDutchMan13,1330847,11,49209938,2017-06-02T23:31:43Z
10128346,ganarend,8476271,7,63753916,2018-10-22T10:30:04Z
10128367,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:45Z
10128372,marthaleena,5659851,9,61264170,2018-08-01T13:32:23Z
10128390,osmjwh,5084396,5,54475197,2017-12-09T03:11:29Z
10128394,Ted Percival,30079,2,158049,2009-04-04T08:05:58Z
10128407,TheDutchMan13,1330847,3,49209938,2017-06-02T23:31:46Z
10128416,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:46Z
10128421,FvGordon,161619,9,68184210,2019-03-15T18:01:46Z
10128423,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:46Z
10128426,Modest7,6672825,8,54323092,2017-12-04T09:24:48Z
10128440,Chris112233,5354676,47,66316991,2019-01-14T22:39:32Z
10128441,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:47Z
10128457,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:48Z
10128461,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:48Z
10128462,ekkakkas,8476260,7,63543196,2018-10-15T13:47:28Z
10128463,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:48Z
10128467,dirtyidol,8848191,13,67878283,2019-03-07T10:55:22Z
10128468,korolenok,8650733,20,67765109,2019-03-04T12:23:48Z
